sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,809,0,4542,9594,1,0,1
735236,1505,0,6142,9386,1,0,1
735237,1100,0,6284,-7283,1,0,1
735238,496,0,2503,-7713,1,0,1
735239,587,0,828,9983,1,0,1
735240,65535,255,3808,9728,0,0,0
735241,1570,0,5696,9467,1,0,1
735242,1356,0,6631,-7203,1,0,1
735243,65535,255,3411,-7679,0,0,0
735244,65535,255,321,-8653,0,0,0
735245,65535,255,2949,9796,0,0,0
735246,1181,0,5175,9571,1,0,1
735247,65535,255,6539,9320,0,0,0
735248,1023,0,5872,-7387,1,0,1
735249,525,0,1440,-7786,1,0,1
735250,65535,255,1957,9787,0,0,0
735251,1313,0,4551,9661,1,0,1
735252,1741,0,6148,9427,1,0,1
735253,841,0,6279,-7317,1,0,1
735254,618,0,2498,-7840,1,0,1
735255,458,0,835,9705,1,0,1
735256,835,0,3808,9673,1,0,1
735257,65535,255,5691,9499,0,0,0
735258,65535,255,6633,-7222,0,0,0
735259,896,0,3423,-7704,1,0,1
735260,629,0,343,-7643,1,0,1
735261,931,0,2921,9852,1,0,1
735262,1282,0,5155,9594,1,0,1
735263,65535,255,6524,9334,0,0,0
735264,65535,255,5888,-7400,0,0,0
735265,428,0,1490,-7964,1,0,1
735266,419,0,1907,9944,1,0,1
735267,821,0,4525,9627,1,0,1
735268,1813,0,6129,9411,1,0,1
735269,1613,0,6294,-7306,1,0,1
735270,549,2,2538,-7811,1,0,1
735271,597,0,783,9650,1,0,1
735272,1081,0,3772,9676,1,0,1
735273,1437,0,5671,9507,1,0,1
735274,1464,0,6645,-7228,1,0,1
735275,1152,0,5431,-7459,1,0,1
735276,564,0,389,-8103,1,0,1
735277,65535,255,2888,9747,0,0,0
735278,65535,255,5135,9555,0,0,0
735279,65535,255,6508,9361,0,0,0
735280,1338,2,5903,-7372,1,0,1
735281,732,0,1528,-7872,1,0,1
735282,456,0,1869,9878,1,0,1
735283,1253,0,4498,9611,1,0,1
735284,1107,0,6114,9403,1,0,1
735285,1098,0,6306,-7299,1,0,1
735286,718,0,2572,-7820,1,0,0
735287,580,0,748,9725,1,0,1
735288,1178,0,3744,9702,1,0,1
735289,1177,0,5655,9519,1,0,1
735290,65535,255,6654,-7235,0,0,0
735291,65535,255,5445,-7466,0,0,0
735292,65535,255,423,-8087,0,0,0
