sdate,line_t,line_tmq,line_tvza,line_tvaa,line_tm2,line_QFDNB,line_tm_buf
735235,9,1,747,10183,1,0,1
735236,7,0,3474,9806,1,0,1
735237,5,0,5321,9482,1,0,1
735238,9,1,4994,-7227,1,0,1
735239,7,0,3070,-7461,1,0,1
735240,7,0,275,-8518,1,0,1
735241,5,0,2668,9860,1,0,1
735242,7,0,4799,9594,1,0,1
735243,4,0,5461,-7134,1,0,1
735244,5,0,3803,-7391,1,0,0
735245,4,0,1271,-7728,1,0,1
735246,2,0,1764,9974,1,0,0
735247,3,0,4199,9648,1,0,1
735248,65535,255,5784,9366,0,0,0
735249,5,0,4433,-7335,1,0,1
735250,6,0,2204,-7559,1,0,1
735251,4,0,770,10090,1,0,1
735252,6,0,3487,9787,1,0,1
735253,65535,255,5326,9471,0,0,0
735254,65535,255,4993,-7245,0,0,0
735255,7,0,3070,-7580,1,0,1
735256,65535,255,273,-8036,0,0,0
735257,65535,255,2663,9813,0,0,1
735258,13,1,4793,9566,1,0,1
735259,0,0,5466,-7105,1,0,1
735260,0,0,3816,-7459,1,0,0
735261,116,2,1294,-7546,1,0,1
735262,60,2,1738,9827,1,0,1
735263,65535,255,4174,9700,0,0,0
735264,32,2,5767,9357,1,0,1
735265,4,0,4457,-7281,1,0,1
735266,2,0,2246,-7685,1,0,1
735267,65535,255,730,9823,0,0,0
735268,7,0,3453,9748,1,0,1
735269,65535,255,5307,9460,0,0,0
735270,9,0,5011,-7236,1,0,1
735271,65535,255,3101,-7575,0,0,0
735272,5,0,314,-8112,1,0,1
735273,7,0,2629,9828,1,0,1
735274,65535,255,4770,9588,0,0,0
735275,11,0,5484,-7123,1,0,1
735276,65535,255,3840,-7385,0,0,0
735277,4,0,1327,-7698,1,0,1
735278,65535,255,1699,9963,0,0,0
735279,4,0,4149,9649,1,0,1
735280,5,0,5751,9399,1,0,1
735281,3,0,4481,-7351,1,0,0
735282,65535,255,2278,-7638,0,0,0
735283,4,0,696,9721,1,0,1
735284,9,1,3428,9734,1,0,1
735285,65535,255,5289,9454,0,0,1
735286,10,1,5027,-7238,1,0,1
735287,4,0,3124,-7592,1,0,1
735288,10,1,350,-8365,1,0,1
735289,65535,255,2599,9868,0,0,1
