ID,date_start,date_end,chg_type,chg_conf
1,NA,NA,NA,NA
2,735478|736085,735689|736237,2|3,3|3
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,737882,737911,3,3
6,737334,737729,6,1
7,NA,NA,NA,NA
8,736543,737060,6,2
9,735235|735812,735354|735872,1|1,3|3
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,736939,737029,5,1
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,735386|737457,735446|737484,3|5,2|2
26,735355|737638,735446|737668,5|5,2|2
27,737334,737425,5,2
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,737212|737791,737606|737821,6|1,2|1
35,NA,NA,NA,NA
36,735508|736330,735599|736603,5|5,1|1
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,735631|736696,735658|737060,3|5,2|2
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,736604,736695,3,3
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,736727,736785,5,3
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,736208,736360,6,2
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,736177|738004,736207|738034,3|3,3|2
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,735600|736908,735658|737394,3|6,2|1
76,NA,NA,NA,NA
77,735447|737151,735538|737180,5|3,2|3
78,735325|737151,735507|737180,5|3,3|3
79,735965|736786|737334,736176|737029|737425,5|1|5,1|1|1
80,736085|737426,736329|737456,5|5,1|2
81,735355|737426,735415|737790,3|1,2|2
82,735812|736451,736329|736511,2|5,2|2
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,736786|737242|737822,736907|737364|738034,5|3|1,2|3|2
88,736543|737061|737973,736695|737333|738003,5|1|3,2|2|2
89,736085|737334,736145|737515,3|6,1|1
90,NA,NA,NA,NA
91,735600,735630,3,3
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,735843,735872,3,2
96,NA,NA,NA,NA
97,736755|737334|738096,736785|737364|738156,3|3|1,3|3|2
98,736635|737334|738096,736664|737364|738156,5|3|1,2|3|2
99,735416,735658,6,2
100,736574,736664,1,1
101,737457,737698,5,2
102,737943,738034,1,1
103,NA,NA,NA,NA
104,736451,736481,3,2
105,NA,NA,NA,NA
106,735325|735873|736177|737334,735599|735903|736450|737425,1|3|6|3,2|1|3|1
107,735294|735659|735996,735324|735689|736023,1|1|3,1|1|3
108,735294|735631|735996|736939,735415|735658|736023|736968,1|3|3|1,1|1|3|3
109,735294|735690|735996|736939,735415|735719|736023|736968,1|1|3|1,1|1|3|3
110,735266|735631|735873|736816,735324|735658|735995|737119,1|1|3|2,3|3|3|3
111,NA,NA,NA,NA
112,735659|735965|736330|736877|737822,735719|735995|736360|737272|738125,5|3|3|6|1,2|2|3|1|2
113,736085|737334,736115|737364,3|3,2|2
114,737000,737029,3,3
115,NA,NA,NA,NA
116,736024|737242,736054|737303,3|3,2|2
117,735996|736696,736054|736846,3|5,3|1
118,736665|737607,736695|737637,3|3,2|3
119,NA,NA,NA,NA
120,737030|737607,737091|737698,4|3,3|3
121,NA,NA,NA,NA
122,736786|737395|737638,737060|737425|737668,5|3|3,3|3|3
123,737212|737638,737303|737729,3|3,2|3
124,736604|737638,736968|737698,6|3,2|2
125,736451|737485,736695|737668,5|5,3|2
126,736238|736635|737669,736298|736846|737698,3|2|3,3|3|2
127,736877|737638,737060|737668,5|3,2|3
128,737577,737729,1,2
129,736635|737607,736695|737729,1|1,1|2
130,736816|737791,737150|737821,6|3,3|2
131,737181,737211,3,3
132,737000|737546,737060|737576,5|3,2|3
133,737334,737698,6,1
134,735539|737000|737181,735630|737029|737303,2|3|1,3|3|1
135,735447|736969|737365,735477|736999|737394,3|3|3,3|3|1
136,736238|737000,736268|737029,3|5,1|1
137,737000,737029,3,3
138,735965|736330,735995|736360,3|3,2|3
139,737577,737606,5,1
140,736361,736450,3,3
141,737030,737150,2,1
142,736939,736968,1,1
143,NA,NA,NA,NA
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,736939,737150,2,3
147,736939,737119,2,3
148,736939,737060,1,3
149,736939,737119,2,3
150,736939,736968,1,3
151,736939,737091,2,3
152,736269|736939,736420|736968,2|1,1|1
153,736543|736939|737334,736573|736968|737515,3|3|6,2|3|2
154,736939,737060,1,3
155,736939,737119,2,3
156,735631,735811,5,2
157,736939|737426,737119|737515,2|3,3|2
158,736939,737060,1,3
159,736939,737119,2,3
160,736939,736968,1,3
161,736939,737060,1,3
162,736939,736968,1,3
163,736939,736968,1,3
164,736939,737119,2,3
165,736939|737334,736968|737425,3|5,3|2
166,736939,737060,1,3
167,736939,737119,2,3
168,736939,737029,1,3
169,736361|736939,736481|737119,5|2,2|3
170,736939,737091,2,3
171,736939,736968,1,3
172,NA,NA,NA,NA
173,736939,737091,2,3
174,736939,737119,2,3
175,736939,737091,2,3
176,736939,737150,2,3
177,736939,737150,2,3
178,736939,737060,1,3
179,736939,737119,2,3
180,736939,737150,2,3
181,736939,736968,1,3
182,736939,736968,1,3
183,736939,737150,2,3
184,736939|737730,736968|737759,1|3,3|3
185,736939,737150,2,3
186,736939,736968,1,3
187,736939,737091,2,3
188,NA,NA,NA,NA
189,NA,NA,NA,NA
190,736939,737119,2,3
191,736939,737119,2,3
192,736939,736968,1,3
193,736939,736968,1,1
194,736939,736968,1,3
195,736939,736968,1,3
196,736939,737119,2,3
197,736939,737029,3,1
198,736939,737119,2,3
199,736939,736968,1,3
200,736939,737060,1,3
201,NA,NA,NA,NA
202,736939,737119,2,3
203,NA,NA,NA,NA
204,NA,NA,NA,NA
205,NA,NA,NA,NA
206,736939,736968,1,3
207,735508|737000,735538|737060,3|3,3|2
208,NA,NA,NA,NA
209,736939,736968,3,3
